"genus","species","BPBM","SVL","finger","toe","ft","anterior","posterior","ap"
"Oreophryne","inornata",16220,33.5,2.725684668,2.569817154,1.060653153,1.925006557,2.238975127,0.8597713008
"Oreophryne","inornata",16233,39.4,3.544853269,3.14699733,1.126423984,2.040952587,1.819230677,1.121876743
"Oreophryne","inornata",16228,39.1,3.525356843,3.162067304,1.114889882,2.543428486,2.428635556,1.047266429
"Oreophryne","inornata",16230,33.3,2.860195368,2.669852317,1.071293475,2.301330693,1.765703467,1.303350612
"Oreophryne","inornata",16248,37.2,2.84621302,3.197403975,0.8901637208,2.360874954,2.180701233,1.082621919
"Oreophryne","inornata",16221,33.5,2.03125,2.158151042,0.9411991843,2.111844451,1.849800361,1.141660741
"Oreophryne","inornata",16237,31.5,2.274275571,2.133574277,1.065946284,2.107239427,1.233967655,1.707694216
"Oreophryne","loriae",22538,22.7,1.546710307,1.437399938,1.07604729,1.687047288,1.236507592,1.364364683
"Oreophryne","loriae",47656,26.1,1.939630461,1.768036438,1.097053443,1.887275335,1.213482139,1.555255965
"Oreophryne","loriae",22359,24.7,1.859726685,1.657267011,1.122164789,2.634304959,1.754861353,1.501147059
"Oreophryne","loriae",27488,25.9,1.583981982,1.558440273,1.016389277,1.820981568,1.631306863,1.116271628
"Oreophryne","loriae",22537,25,1.776862992,1.585277433,1.120853016,2.590564972,2.074293785,1.248890099
"Oreophryne","notata",33697,17.1,0.9758758289,0.8133893456,1.199764706,1.373010127,1.136583373,1.20801532
"Oreophryne","notata",33772,18.4,1.360896068,1.137309691,1.196592343,1.921629437,1.411743012,1.361175102
"Oreophryne","notata",33706,18.6,1.275346647,1.109797992,1.14917008,1.671263632,1.085003796,1.540329757
"Oreophryne","notata",33674,19.5,1.196400034,1.093434513,1.094167068,1.613057392,1.304974518,1.236083441
"Oreophryne","notata",33673,17.2,1.347355528,1.196400034,1.126174765,1.775757138,1.709129686,1.038983263
"Oreophryne","parkeri",31472,23.4,1.724686303,1.798339135,0.9590439699,2.00125,1.621014151,1.234566644
"Oreophryne","parkeri",34647,21.5,1.618252286,1.473425779,1.098292367,1.889283731,1.635443272,1.155212023
