"BPBM","genus","species","SVL","finger","toe","ft","anterior","posterior","ap","reference","toe_length","toe_webbing","IO_space","tympanum","palate","cartilaginous","ligamentous","pupil_horizontal","teeth","two_palate_folds","honk_call","whinny_call","rattle_call","peeping_call"
16119,"Auparoparo","insulana",23.3,1.429032258,0.9752822581,1.465249928,1.892753213,1.242647328,1.523162019,"",1,1,2,2,2,0,3,3,0,3,0,3,0,0
16228,"Oreophryne","inornata",39.1,3.525356843,3.162067304,1.114889882,2.543428486,2.428635556,1.047266429,"",1,3,2,1,0,0,3,3,0,3,3,0,0,0
16230,"Oreophryne","inornata",33.3,2.860195368,2.669852317,1.071293475,2.301330693,1.765703467,1.303350612,"",2,3,1,1,1,0,3,3,0,3,3,0,0,0
16233,"Oreophryne","inornata",39.4,3.544853269,3.14699733,1.126423984,2.040952587,1.819230677,1.121876743,"",1,2,2,1,1,0,3,3,0,3,3,0,0,0
16248,"Oreophryne","inornata",37.2,2.84621302,3.197403975,0.8901637208,2.360874954,2.180701233,1.082621919,"",2,2,1,1,1,0,3,3,0,3,3,0,0,0
16546,"Auparoparo","insulana",21.4,1.144993474,0.9187116422,1.246303433,1.450789852,1.266424395,1.145579521,"call_source_(Kraus_2016)",1,1,1,1,0,0,3,3,0,3,0,3,0,0
16547,"Auparoparo","insulana",21.8,1.256878199,0.9270404337,1.355796525,1.885402721,1.243650364,1.516023133,"Zweifel_1956",2,1,1,1,0,0,3,3,0,3,0,3,0,0
16548,"Auparoparo","insulana",21.3,1.22361239,0.8922670328,1.371352235,1.83687917,1.41421399,1.298869325,"",1,1,1,1,1,0,3,3,0,3,0,3,0,0
16549,"Auparoparo","insulana",16.9,0.8413503866,0.5286452914,1.591521575,1.539136302,1.087381916,1.415451443,"",1,1,1,1,3,0,3,3,0,3,0,3,0,0
17978,"Auparoparo","matawan",18.2,1.358733268,1.013208214,1.341020779,1.801642262,1.084173991,1.661764881,"Kraus_2016",1,1,2,1,2,0,3,3,0,3,0,0,3,0
17979,"Auparoparo","matawan",18.4,1.263048382,1.030667956,1.22546585,1.469490087,1.169594151,1.256410256,"",1,1,1,1,1,0,3,3,0,3,0,0,3,0
17980,"Auparoparo","matawan",19.7,1.212231703,1.048471977,1.15618894,1.656973643,1.275244183,1.299338327,"",1,1,1,2,2,0,3,3,0,3,0,0,3,0
17983,"Auparoparo","matawan",17.4,1.108305617,0.9125283138,1.214543812,1.469490087,1.169594151,1.256410256,"",1,1,2,1,1,0,3,3,0,3,0,0,3,0
17984,"Auparoparo","matawan",17.5,1.113606691,0.9691554468,1.149048581,1.783905023,1.117952374,1.595689642,"",1,1,1,1,2,0,3,3,0,3,0,0,3,0
18125,"Auparoparo","picticrus",26.3,1.448144591,1.207890917,1.198903453,1.998968389,1.29817316,1.539831858,"",1,2,2,2,1,0,3,3,0,3,0,3,0,0
18130,"Auparoparo","picticrus",27,2.23253218,1.52016837,1.468608493,2.072932327,1.550252488,1.337157878,"",2,1,1,1,1,0,3,3,0,3,0,3,0,0
18145,"Auparoparo","picticrus",29.2,2.205125732,1.378315555,1.599870017,2.754824772,1.569625178,1.755084469,"",1,1,1,2,2,0,3,3,0,3,0,3,0,0
18146,"Auparoparo","picticrus",27.8,2.578339478,1.703822472,1.513267679,2.339976787,1.465808259,1.59637304,"kraus_2016",1,1,1,2,1,0,3,3,0,3,0,3,0,0
18163,"Auparoparo","picticrus",26.3,1.612620985,1.222191427,1.319450414,2.023974064,1.316448374,1.537450388,"",1,1,1,1,2,0,3,3,0,3,0,3,0,0
