genus,species,BPBM,svl (mm),meas,number,label,mean,min,max,angle,length,pixels,finger width (mm),toe width (mm),f/t,ant width (mm),pos width (mm),a/p
Oreophryne,inornata,16220,33.5,10mm,10,IMG_5115.jpg,349,175.447,34.057,242.144,-0.988,348.052,2.725684668,2.569817154,1.060653153,1.925006557,2.238975127,0.8597713008
,,,,3rd finger,11,IMG_5115.jpg,96,203.509,68,249.333,-18.435,94.868,,,,,,
,,,,4th toe,12,IMG_5115.jpg,90,159.38,141,172.865,26.565,89.443,,,,,,
,,,,10mm,4,IMG_4850.jpg,417,221.933,78.167,237.056,-3.035,415.583,,,,,,
,,,,anterior width,5,IMG_4850.jpg,81,155.321,143.667,165,0,80,,,,,,
,,,,posterior width,6,IMG_4850.jpg,94,178.323,161.871,239.548,1.848,93.048,,,,,,
Oreophryne,inornata,16233,39.4,10mm,13,IMG_5116.jpg,346,166.945,4.304,235.246,-2.49,345.326,3.544853269,3.14699733,1.126423984,2.040952587,1.819230677,1.121876743
,,,,finger,14,IMG_5116.jpg,123,126.376,86.333,148.262,-36.027,122.413,,,,,,
,,,,toe,15,IMG_5116.jpg,110,131.557,43,250.555,-26.801,108.674,,,,,,
,,,,10mm,1,IMG_4851.jpg,375,225.105,86,235.772,-2.755,374.433,,,,,,
,,,,anterior width,2,IMG_4851.jpg,77,170.002,163,178,-6.009,76.42,,,,,,
,,,,posterior width,3,IMG_4851.jpg,69,170.502,153.412,177.765,-3.366,68.118,,,,,,
Oreophryne,inornata,16228,39.1,10mm,1,IMG_5117.jpg,397,172.858,32.141,237.455,-2.314,396.323,3.525356843,3.162067304,1.114889882,2.543428486,2.428635556,1.047266429
,,,,finger,2,IMG_5117.jpg,141,146.48,80,248.558,-14.931,139.718,,,,,,
,,,,toe,3,IMG_5117.jpg,126,154.296,95.667,243.122,-137.911,125.32,,,,,,
,,,,10mm,4,IMG_4852.jpg,355,172.376,93.288,226.288,1.941,354.203,,,,,,
,,,,anterior width,5,IMG_4852.jpg,91,179.13,171.333,184.444,-2.545,90.089,,,,,,
,,,,posterior width,6,IMG_4852.jpg,87,192.529,174.504,249.488,1.332,86.023,,,,,,
Oreophryne,inornata,16230,33.3,10mm,4,IMG_5118.jpg,403,172.76,20.915,241.025,-0.428,402.011,2.860195368,2.669852317,1.071293475,2.301330693,1.765703467,1.303350612
,,,,finger,5,IMG_5118.jpg,116,149.62,49.333,253.719,-172.504,114.983,,,,,,
,,,,toe,6,IMG_5118.jpg,108,141.412,33,160.333,-26.565,107.331,,,,,,
,,,,10mm,10,IMG_4855.jpg,335,220.515,68.391,232.26,-2.571,334.337,,,,,,
,,,,anterior width,11,IMG_4855.jpg,78,144.571,134.155,149.999,-8.973,76.942,,,,,,
,,,,posterior width,12,IMG_4855.jpg,60,151.171,140.57,157.919,-10.739,59.034,,,,,,
Oreophryne,inornata,16248,37.2,10mm,7,IMG_5119.jpg,361,169.894,7.852,232.733,-1.273,360.089,2.84621302,3.197403975,0.8901637208,2.360874954,2.180701233,1.082621919
,,,,finger,8,IMG_5119.jpg,103,107.156,65.333,190.572,-17.021,102.489,,,,,,
,,,,toe,9,IMG_5119.jpg,116,123.816,67.566,253.478,-162.824,115.135,,,,,,
,,,,10mm,13,IMG_4858.jpg,392,203.815,80,247.667,-2.936,390.512,,,,,,
,,,,anterior width,14,IMG_4858.jpg,93,152.382,134.667,166.681,-3.731,92.195,,,,,,
,,,,posterior width,15,IMG_4858.jpg,86,166.11,156.32,172,-9.462,85.159,,,,,,
Oreophryne,inornata,16221,33.5,10mm,10,IMG_5120.jpg,385,152.666,4.333,213.667,0,384,2.03125,2.158151042,0.9411991843,2.111844451,1.849800361,1.141660741
,,,,finger,11,IMG_5120.jpg,79,109.759,87,128.333,0,78,,,,,,
,,,,toe,12,IMG_5120.jpg,84,130.555,59.333,158.811,171.674,82.873,,,,,,
,,,,10mm,16,IMG_4859.jpg,343,197.849,59.158,246.772,-1.507,342.118,,,,,,
,,,,anterior width,17,IMG_4859.jpg,73,164.256,159.583,169.333,-4.764,72.25,,,,,,
,,,,posterior width,18,IMG_4859.jpg,64,176.633,171,179.365,-5.44,63.285,,,,,,
Oreophryne,inornata,16237,31.5,10mm,13,IMG_5121.jpg,376,175.626,41.813,241.741,-1.833,375.192,2.274275571,2.133574277,1.065946284,2.107239427,1.233967655,1.707694216
,,,,finger,14,IMG_5121.jpg,86,118.432,99.334,152,10.125,85.329,,,,,,
,,,,toe,15,IMG_5121.jpg,81,125.846,96.667,138.201,-167.005,80.05,,,,,,
,,,,10mm,19,IMG_4861.jpg,393,181.224,66.742,233.262,-0.585,392.02,,,,,,
,,,,anterior width,20,IMG_4861.jpg,84,164.416,146.463,174.141,-6.953,82.608,,,,,,
,,,,posterior width,21,IMG_4861.jpg,49,148.447,119,185.667,172.875,48.374,,,,,,
Oreophryne,loriae,22538,22.7,10mm,1,IMG_4864.jpg,367,175.776,11.792,251,-0.626,366.022,1.546710307,1.437399938,1.07604729,1.687047288,1.236507592,1.364364683
,,,,finger,2,IMG_4864.jpg,58,96.757,79.444,155.095,-72.525,56.613,,,,,,
,,,,toe,3,IMG_4864.jpg,54,109.092,71.307,223.812,-98.746,52.612,,,,,,
,,,,10mm,6,IMG_4866.jpg,535,178.109,117.184,205.039,0.215,534.004,,,,,,
,,,,anterior width,7,IMG_4866.jpg,91,142.628,124.756,155,-2.545,90.089,,,,,,
,,,,posterior width,8,IMG_4866.jpg,67,160.005,149.606,169.364,-1.736,66.03,,,,,,
Oreophryne,loriae,47656,26.1,10mm,9,IMG_4868.jpg,381,188.871,31.272,251.123,-2.11,380.258,1.939630461,1.768036438,1.097053443,1.887275335,1.213482139,1.555255965
,,,,finger,10,IMG_4868.jpg,75,106.95,84.373,163.333,-102.529,73.756,,,,,,
,,,,toe,11,IMG_4868.jpg,68,102.093,83.333,113.339,-120.379,67.231,,,,,,
,,,,10mm,12,IMG_4869.jpg,447,189.996,41.608,244.253,-1.798,446.22,,,,,,
,,,,anterior width,13,IMG_4869.jpg,85,76.013,53.667,94.167,-4.086,84.214,,,,,,
,,,,posterior width,14,IMG_4869.jpg,55,102.519,94.802,108.667,-4.236,54.148,,,,,,
Oreophryne,loriae,22359,24.7,10mm,1,IMG_4872.jpg,371,190.242,38.016,251.049,-0.929,370.049,1.859726685,1.657267011,1.122164789,2.634304959,1.754861353,1.501147059
,,,,finger,2,IMG_4872.jpg,70,116.865,103.006,136.84,-54.462,68.819,,,,,,
